,id,customer_name,Flag
0,0,Kathleen Williamson,
1,1,Jessica Blair,
2,2,Julia Black,
3,3,Ralph Patton,
4,4,Jeffrey Jackson,G
5,5,Jeremiah Francis,B
6,6,Lori Hernandez,
7,7,Melissa Rowland,
8,8,Kevin Gonzales,
9,9,Richard Allison,B
10,10,Alejandro Hill,
11,11,Nicholas Durham,B
12,12,Ashley Fowler,
13,13,Jennifer May,
14,14,Matthew Myers,B
15,15,Shaun Clark,
16,16,Kathleen Rubio,
17,17,Debra Sloan,B
18,18,Cynthia Wong,
19,19,Ivan Jacobs,
20,20,Richard Owens,
21,21,Jason Rivera,G
22,22,Jennifer Wiggins MD,B
23,23,John Beard,
24,24,John Miller,G
25,25,Victoria Mills,
26,26,Jennifer Campbell,G
27,27,Anthony Prince,
28,28,Mary Hicks,
29,29,Brandon Leach,
30,30,Cameron Holloway,
31,31,Corey Swanson,B
32,32,Andrew Robles,
33,33,Thomas Rogers,
34,34,Angela Reynolds,
35,35,Mikayla Stewart,
36,36,Courtney Richardson,
37,37,Christine Jones,
38,38,Justin Carter,B
39,39,Heather Johnston,
40,40,Kevin Villarreal,
41,41,Gwendolyn Martinez,
42,42,Sharon Brown,
43,43,Steven Dunn,
44,44,Maria Tanner,
45,45,Thomas Jones,B
46,46,Sean West,
47,47,David Goodman,
48,48,Eric Wright,
49,49,Gabriel Brown,
50,50,Susan Richards,
51,51,Gerald Bryant,
52,52,Julie Lee,
53,53,Jessica Kennedy,B
54,54,Madison Flores,
55,55,Annette Sutton,G
56,56,Miguel Conrad DDS,
57,57,Ashley Holland,B
58,58,Crystal Walker,
59,59,Carlos Miles,B
60,60,Abigail Chandler,
61,61,Philip Davies,G
62,62,Richard Fowler,
63,63,Dr. Christopher Andrews,
64,64,Mary Dillon,G
65,65,John Vance,
66,66,Lawrence Green,
67,67,Lindsey Ward,
68,68,Justin Allen,
69,69,Alejandra Carter,
70,70,Joseph Nelson,G
71,71,Kelly Vance,
72,72,Alison Eaton,B
73,73,Jason Greer,G
74,74,Robert Barron,
75,75,Diane Foley,
76,76,Terry Brown,
77,77,Jeffery Velazquez,
78,78,Krista Johnson,
79,79,Eddie Sweeney,
80,80,Jonathan Ruiz,G
81,81,Jon Berg,B
82,82,Paige Contreras,B
83,83,Alison Thompson,B
84,84,Matthew Fernandez,
85,85,Alexis Wise,
86,86,Isaac Moore PhD,G
87,87,Kevin Simmons,
88,88,Andrea Anderson,G
89,89,Heather Hill,
90,90,Mr. Thomas Villegas,B
91,91,Tammy Garcia,
92,92,Elijah Martinez DVM,G
93,93,Rebecca James,G
94,94,Keith Spencer,G
95,95,Kathleen Kent,G
96,96,Dr. Emily Brown,
97,97,Andrew Jones,B
98,98,James Jones DDS,
99,99,Nicholas Williams,
100,100,Kevin Olsen,
101,101,Richard Schmidt,
102,102,Diana Smith,
103,103,Chelsea Wilson,G
104,104,Francisco Barry,G
105,105,Jeffrey Morrison,B
106,106,Rachel Hoover,G
107,107,Rachel Hammond,
108,108,Jordan Graham,
109,109,Jose Collins,G
110,110,Rita Case,
111,111,Mr. Jerome Murray,
112,112,Rachel Lyons,
113,113,Jenny Johnson,B
114,114,Victor Yates,
115,115,Melissa Wright,G
116,116,John Johnson,
117,117,Mrs. Heidi Shepard DDS,G
118,118,Alexandra Clark,
119,119,Jennifer Mack,
120,120,Wendy Smith,
121,121,Megan Saunders,
122,122,Christopher Cook,
123,123,Tanner Gonzales,
124,124,Antonio Castaneda,
125,125,Erica Myers,
126,126,Crystal Martinez,
127,127,Joseph Gibson,
128,128,Paul Brown,
129,129,Jill Snyder,
130,130,Ashley Matthews,
131,131,Jessica Stewart,G
132,132,Cody Montgomery,
133,133,James Martin,G
134,134,Scott Gregory,
135,135,Daniel Rodriguez,
136,136,Matthew Potts,G
137,137,Jason Wise,G
138,138,Brian Mcdonald,
139,139,Amy Ortiz,
140,140,Sara Shepherd,B
141,141,Jack Taylor,B
142,142,Karen Gamble,
143,143,George Jordan,G
144,144,Jennifer Pittman,G
145,145,Randy Bennett,B
146,146,Greg Hawkins,
147,147,Natasha Jackson,
148,148,Brandon Vazquez,B
149,149,Timothy Berg,G
150,150,Hayden Wilson,
151,151,April Atkinson MD,
152,152,David Griffith,
153,153,Melissa Mitchell,
154,154,Joseph Barnes,
155,155,Traci Jones,
156,156,Mary Moore,
157,157,Mr. William Love,B
158,158,Leslie Hurst,
159,159,Rebecca Dean,B
160,160,Tony Dunn,
161,161,Karen Reed,G
162,162,Dr. Matthew Ramirez MD,
163,163,Victoria Boyd,G
164,164,Shari West,B
165,165,Lindsay Adkins,
166,166,Mark Wright,G
167,167,Ryan Lopez Jr.,
168,168,Frederick Harris,
169,169,Allison Miller,
170,170,Cassandra Cummings,
171,171,Mr. Joseph Hernandez,
172,172,Tammy Thompson,B
173,173,Gary Miller,
174,174,Shelley Zimmerman,
175,175,David Murillo,
176,176,Jeremy Wood,
177,177,Mary Everett MD,B
178,178,Chad Rasmussen,
179,179,Christopher Riggs,B
180,180,Albert Hanson,G
181,181,Nicholas Randall,
182,182,Rick Quinn,
183,183,Mark Armstrong,G
184,184,Joshua Ortiz,G
185,185,Sheryl Morton,
186,186,Pamela Cervantes,
187,187,Olivia Sims,G
188,188,Heather Sanchez,
189,189,Paul Valdez,
190,190,Kevin Bennett,
191,191,Christina Sparks,
192,192,Alexis Hayes,
193,193,Angela Stevenson,B
194,194,Nancy Cooper,
195,195,Clayton Brown,B
196,196,Dawn Robinson,G
197,197,Andrew Nelson,G
198,198,Hannah Vargas,
199,199,Lisa Perez,
200,200,Wanda Larson,
201,201,Kara Newton,B
202,202,April Smith,B
203,203,Veronica Fleming,
204,204,Raymond Burton,B
205,205,Ronald Webb,
206,206,Jessica Rice,
207,207,Mary Jackson,
208,208,Jessica Graham,G
209,209,James Griffin,
210,210,Lacey Wheeler,
211,211,Megan Wilson,
212,212,Jesus Wong,
213,213,Joshua Smith,
214,214,Dr. Carla Matthews MD,
215,215,Shannon Jensen,
216,216,Benjamin Robinson,
217,217,Scott Ramirez,
218,218,Robert Gross,
219,219,Dr. Cheryl Ellis,G
220,220,James Walker,G
221,221,Joseph Richard,G
222,222,Mikayla Woods,
223,223,Jason Bailey,G
224,224,Victoria Vega,
225,225,Eric Steele,
226,226,Jacob Heath,B
227,227,Sandy Summers,
228,228,Matthew Douglas,G
229,229,Kelsey Robertson,
230,230,John Brown,
231,231,Bradley Smith,G
232,232,Justin Warren,
233,233,Johnathan Hodges,
234,234,Jillian Rodriguez,
235,235,Jennifer Doyle,
236,236,Francisco Jacobson,
237,237,Laura Hamilton,
238,238,Jennifer Warner,G
239,239,Kimberly Bates,
240,240,Antonio Oliver,B
241,241,Ronnie Monroe,
242,242,Richard Robertson,
243,243,Erin Fox,B
244,244,Amanda Espinoza,
245,245,James Carlson,G
246,246,Kristina Chen,
247,247,Samantha Ramirez,
248,248,Sarah Alexander,G
249,249,Jessica Boyd,G
250,250,Mark Burgess,B
251,251,Bryan Reeves,G
252,252,Jessica Marquez,
253,253,Shawn Mendoza,
254,254,Scott Bray,
255,255,Martin Terry,
256,256,Barry Simpson,
257,257,Jeffrey Carter,G
258,258,Mitchell Christian,G
259,259,Lance Ross,
260,260,Stephanie Bell,G
261,261,Daniel Stafford,
262,262,Teresa Cooper,
263,263,Eric Martinez,
264,264,Mark Griffin,
265,265,Samuel Williams,
266,266,Gary Mendez,
267,267,Casey Lewis,G
268,268,Mr. Michael Cook,
269,269,Justin Hebert,G
270,270,Margaret Stewart,
271,271,John Joseph,B
272,272,Michelle King,
273,273,Matthew Moore,
274,274,John Doyle,B
275,275,Melissa Harris,B
276,276,Christine Duncan,
277,277,Janice Bowman,
278,278,David Peterson,G
279,279,Joshua Huynh,
280,280,Robert Cobb,B
281,281,Katherine Allen,
282,282,Dr. Michael Solis DDS,
283,283,Lisa Vega,B
284,284,David Guzman,
285,285,Jennifer Dunn,G
286,286,Steven Cruz,
287,287,Timothy Hudson,
288,288,Jesse Pena,
289,289,Nicholas Peterson,
290,290,Vincent Lewis,
291,291,Courtney Rogers,
292,292,Mr. Devon Johnson,G
293,293,Tammy Aguilar,
294,294,Bianca Moody,B
295,295,Jared Higgins,
296,296,Kimberly Moore,
297,297,Jeffrey Anderson,G
298,298,Nicholas Vargas,B
299,299,Oscar Brewer,
300,300,Kristin Robbins,B
301,301,John Barron,G
302,302,Brianna Holmes,
303,303,Natalie Nguyen,B
304,304,Judith Young,
305,305,Jason Howard,
306,306,Michelle Jones,
307,307,Hailey Gonzales,
308,308,Kendra Stephens,
309,309,Jessica Underwood,
310,310,Leah Stout,
311,311,James Wilson,
312,312,Victor Craig,
313,313,Michelle Gallegos,G
314,314,Gregory Rodgers,
315,315,Jennifer Walton,
316,316,Justin Thomas,
317,317,Mark Russell,B
318,318,Tony Tucker,
319,319,Carolyn Walker,
320,320,Anne Wiley,
321,321,Robert Russell,
322,322,Maria Parker,B
323,323,Eric Clark,
324,324,Robin Moore,
325,325,Melissa Boone,
326,326,Mr. Daniel Rosario MD,B
327,327,John Keller,G
328,328,Joanna Carroll,
329,329,Joel Mason,
330,330,Randy Johnson,
331,331,Michelle Hudson,
332,332,Lauren Harvey,
333,333,Stephen Long,B
334,334,Hannah Peterson,
335,335,Allison Johnson,
336,336,Robert Peterson,
337,337,Brandon Butler,
338,338,David Pierce,
